,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_is_superhost,latitude,longitude,minimum_nights,instant_bookable,is_business_travel_ready,tv,wifi,kitchen,washer,dryer,heating,free_parking,smoking_allowed,property_type,neighbourhood,room_type,cancellation_policy,bed_type
14158,6,1.0,2,60.0,35.0,0.0,10.0,1,4.11942680393268,70.0,False,52.4855476470056,13.427374683042743,3,False,False,True,True,True,True,True,True,False,True,1,3,1,1,0
14159,5,1.0,1,49.0,0.0,180.0,8.0,2,6.340310854876674,58.59366401921152,False,52.49204489795697,13.32335309833388,3,False,False,False,True,True,True,True,True,False,False,1,4,1,2,0
14160,2,1.0,1,40.0,0.0,0.0,0.0,1,4.66758054158696,45.76284027498735,True,52.48168398637861,13.433162306941169,3,False,False,False,True,False,False,True,True,False,False,1,3,0,1,0
14161,2,1.0,1,35.0,15.0,0.0,12.0,1,12.67660039719806,20.0,True,52.448193665421236,13.25959797783353,2,False,False,True,True,True,True,True,False,False,False,2,8,0,2,0
14162,2,1.0,1,28.0,0.0,0.0,0.0,1,3.51677362743268,22.0,False,52.534967988062476,13.3592048161377,2,False,False,False,True,True,True,False,True,False,True,1,1,0,2,0
14163,1,1.0,0,20.0,0.0,0.0,0.0,1,7.161743316002012,33.0,False,52.50633674016052,13.301576989344245,6,True,False,False,True,True,True,True,True,False,True,1,4,0,1,0
14164,2,1.5,1,35.0,0.0,0.0,0.0,1,2.474329991823761,49.71346016258282,False,52.500622474142936,13.387025904867075,3,False,False,False,True,True,True,True,False,False,False,1,0,0,1,0
14165,2,1.5,1,40.0,0.0,0.0,0.0,1,2.466131335999516,51.293914256808755,False,52.50058537949403,13.387383556692305,3,False,False,False,True,True,True,True,True,False,False,1,0,0,1,0
14166,2,1.0,1,26.0,0.0,0.0,0.0,1,5.572498742999179,41.30913392586457,False,52.47813317765532,13.450244173954186,2,True,False,False,False,True,True,False,True,False,False,1,3,0,1,0
14167,2,1.0,1,60.0,40.0,0.0,0.0,1,3.8165829482083073,300.0,False,52.48988699922097,13.432059756542928,7,True,False,False,True,True,False,False,True,False,False,1,3,1,0,1
